evaluation_set,model_id,role,metric_family,metric_id,level,value,support_n,series_n,aggregation
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,coverage,0.95,0.9450056116722784,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,mean_width,0.95,336.7370992652393,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,winkler,0.95,434.6765391574608,3564,198,raw
FINAL_LOCKED_EVALUATION,ets_aicc,primary,interval,upper_miss_rate,0.95,0.0364758698092031,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,coverage,0.8,0.7988215488215489,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.8,203.4980256708401,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,winkler,0.8,291.2293166649923,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.8,0.1164421997755331,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,coverage,0.9,0.8908529741863075,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.9,268.8703046630948,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,winkler,0.9,362.7807324945102,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.9,0.0676206509539842,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,coverage,0.95,0.9464085297418632,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.95,340.43480740863777,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,winkler,0.95,445.7922037763382,3564,198,raw
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.95,0.0375982042648709,3564,198,raw
